expected_final_url,origin_url
https://archive.mozilla.org/pub/firefox/candidates/60.0.1esr-candidates/build1/snap/firefox-60.0.1esr.snap,https://queue.taskcluster.net/v1/task/CBZw_C-GQN6vJ5fOgVVGLg/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0.1esr-candidates/build1/snap/firefox-60.0.1esr.snap.checksums,https://queue.taskcluster.net/v1/task/CBZw_C-GQN6vJ5fOgVVGLg/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0.2-candidates/build1/snap/firefox-60.0.2.snap,https://queue.taskcluster.net/v1/task/IQs3gxTrS3CzX4_Ghao_gw/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0.2-candidates/build1/snap/firefox-60.0.2.snap.checksums,https://queue.taskcluster.net/v1/task/IQs3gxTrS3CzX4_Ghao_gw/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0.2esr-candidates/build2/snap/firefox-60.0.2esr.snap,https://queue.taskcluster.net/v1/task/dPRd29JTQ92IdNHryOoQTw/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0.2esr-candidates/build2/snap/firefox-60.0.2esr.snap.checksums,https://queue.taskcluster.net/v1/task/dPRd29JTQ92IdNHryOoQTw/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.1.0esr-candidates/build1/snap/firefox-60.1.0esr.snap,https://queue.taskcluster.net/v1/task/PfUt8kf_QjWu17fwe-kf3w/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.1.0esr-candidates/build1/snap/firefox-60.1.0esr.snap.checksums,https://queue.taskcluster.net/v1/task/PfUt8kf_QjWu17fwe-kf3w/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.1.0esr-candidates/build2/snap/firefox-60.1.0esr.snap,https://queue.taskcluster.net/v1/task/Is34poV_TuWOSyWMUDcsGA/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.1.0esr-candidates/build2/snap/firefox-60.1.0esr.snap.checksums,https://queue.taskcluster.net/v1/task/Is34poV_TuWOSyWMUDcsGA/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.2.0esr-candidates/build1/snap/firefox-60.2.0esr.snap,https://queue.taskcluster.net/v1/task/IwOkR6ZeSHOWCWd9Saox6w/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.2.0esr-candidates/build1/snap/firefox-60.2.0esr.snap.checksums,https://queue.taskcluster.net/v1/task/IwOkR6ZeSHOWCWd9Saox6w/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.2.0esr-candidates/build2/snap/firefox-60.2.0esr.snap,https://queue.taskcluster.net/v1/task/XAXheu4cRpKF9eFVuEHokA/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.2.0esr-candidates/build2/snap/firefox-60.2.0esr.snap.checksums,https://queue.taskcluster.net/v1/task/XAXheu4cRpKF9eFVuEHokA/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.2.1esr-candidates/build1/snap/firefox-60.2.1esr.snap,https://queue.taskcluster.net/v1/task/NBMGfgwzTI2QJhYiwDZnww/artifacts/public/build/target.snap
